OID_,CID,view_zenith_mean_1,view_azimuth_mean_1,sun_azimuth_1,sun_zenith_1,B2_1,B3_1,B4_1,B5_1,B6_1,B7_1,B8A_1,B11_1,B12_1,flagsbyfiveall_1,lcdetail_fine_1,lcselectedint,LAI_1,CWC_1,CAB_1
,2,8.9350758,92.7811432,49.4412003,29.4902992,0.0122000,0.0320000,0.0217000,0.0719000,0.1891000,0.2224000,0.2476000,0.1074000,0.0490000,1,1.0000000,1,2.0988801,0.0141100,22.2061291
,2,2.1131573,246.7121124,49.5387993,27.7336006,0.0116000,0.0222500,0.0108000,0.0403500,0.1769000,0.2283000,0.2696500,0.1087500,0.0429000,1,1.0000000,1,2.8647599,0.0083300,22.4904709
,2,2.5550084,313.4028931,48.4073982,28.3547993,0.0144000,0.0352000,0.0163000,0.0692000,0.2275000,0.2973000,0.3409000,0.1321000,0.0491000,1,1.0000000,1,2.5465901,0.0097500,21.4715500
,2,1.4134834,35.3552208,49.9268990,27.8493004,0.0179000,0.0339000,0.0145000,0.0657000,0.2575000,0.3395000,0.3707000,0.1540000,0.0626000,1,1.0000000,1,3.0042400,0.0069800,20.5253506
,2,1.8745885,241.2649841,49.5204010,27.7945004,0.0326000,0.0543000,0.0328000,0.0984000,0.3178000,0.4017000,0.4386000,0.1894000,0.0880000,1,1.0000000,1,3.0188999,0.0063700,19.2596493
,2,8.7176456,275.3228760,47.9406013,27.5639992,0.0246000,0.0426000,0.0221000,0.0807000,0.2555000,0.3363000,0.0000000,0.1238000,0.0464000,1,1.0000000,1,3.5328000,0.0079400,15.9592600
,2,4.1056271,119.7762299,50.7542992,27.9032001,0.0030000,0.0115000,0.0058000,0.0375000,0.1224000,0.1388000,0.1656000,0.0839000,0.0359000,1,1.0000000,1,1.9740601,0.0121900,29.2603302
,2,6.6650081,294.7446899,49.3800011,27.0445995,0.0209000,0.0508000,0.0168000,0.0934000,0.2826000,0.3547000,0.3899000,0.1273000,0.0460000,1,1.0000000,1,3.4093699,0.0084100,14.1315203
,2,5.7669907,270.6778564,49.5545006,27.0848999,0.0225000,0.0344000,0.0184000,0.0587000,0.2099000,0.2858000,0.3241000,0.0880000,0.0288000,1,1.0000000,1,3.8587201,0.0090100,15.3980904
,2,2.8209093,310.2750854,49.9635010,27.3558998,0.0210000,0.0421000,0.0210000,0.0793000,0.2331000,0.2931000,0.3216000,0.1335000,0.0562000,1,1.0000000,1,2.6358299,0.0097000,19.5523796
